Project,Workflow,Job,Step,failures,runtime diff in job, runtime diff in step,Runtime with fix,Runtime wo fix,step-runtime w fix,step-runtime wo fix,commit sha with fix,commit sha wo fix,build log with fix,build log wo fix
UniversalMediaServer,CI,Linux 22.04,Run tests,,13.0,-18.0,128.0,118.0,105.0,87.0,efbee5e05cb48d524d2882335544ab6ab2c10688,9d88e952415d87a3d979872e9f30c859f10b1a45,https://github.com/optimizing-ci-builds/UniversalMediaServer/actions/runs/4517208387/jobs/7956236227,https://github.com/optimizing-ci-builds/UniversalMediaServer/actions/runs/4517208429/jobs/7956235608
spring-framework-petclinic,Java CI with Maven,build (17),Build with Maven,,23.0,8.0,36.0,44.0,21.0,29.0,5741a764ee21c9fccb631c7796c7d81b7b236a07,2119fbb4c513cc903af2c5fed5599dfa40a9cb6c,https://github.com/optimizing-ci-builds/spring-framework-petclinic/actions/runs/4517208463/jobs/7956235545,https://github.com/optimizing-ci-builds/spring-framework-petclinic/actions/runs/4517208479/jobs/7956235644
fabric-sdk-java,Build,test (8),Integration tests,,142.0,128.0,1005.0,1133.0,991.0,1119.0,24d1f99512deb8b560bcb638132e98b435847aba,6d98e241a605f27c1b50b2d1f23abfe3b697140d,https://github.com/optimizing-ci-builds/fabric-sdk-java/actions/runs/4517208509/jobs/7956235616,https://github.com/optimizing-ci-builds/fabric-sdk-java/actions/runs/4517208541/jobs/7956235693
fabric-sdk-java,Build,test (11),Integration tests,,43.0,31.0,1001.0,1034.0,991.0,1022.0,24d1f99512deb8b560bcb638132e98b435847aba,6d98e241a605f27c1b50b2d1f23abfe3b697140d,https://github.com/optimizing-ci-builds/fabric-sdk-java/actions/runs/4517208509/jobs/7956235650,https://github.com/optimizing-ci-builds/fabric-sdk-java/actions/runs/4517208541/jobs/7956235740
fabric-sdk-java,Build,test (17),Integration tests,,-14.0,-27.0,1017.0,990.0,1004.0,977.0,24d1f99512deb8b560bcb638132e98b435847aba,6d98e241a605f27c1b50b2d1f23abfe3b697140d,https://github.com/optimizing-ci-builds/fabric-sdk-java/actions/runs/4517208509/jobs/7956235705,https://github.com/optimizing-ci-builds/fabric-sdk-java/actions/runs/4517208541/jobs/7956235779
soot,Soot CI,Build and Test with java 8,Build and test Java 8,,27.0,17.0,188.0,208.0,181.0,198.0,053aa2cb70d2a939e6858d5629015a16c3401a90,cc80f4451dcc6852279792da858820acf246f440,https://github.com/optimizing-ci-builds/soot/actions/runs/4517208608/jobs/7956235940,https://github.com/optimizing-ci-builds/soot/actions/runs/4517208640/jobs/7956235954
soot,Soot CI,Build and Test with java 9,Build and test Java 9,,21.0,8.0,332.0,339.0,318.0,326.0,053aa2cb70d2a939e6858d5629015a16c3401a90,cc80f4451dcc6852279792da858820acf246f440,https://github.com/optimizing-ci-builds/soot/actions/runs/4517208608/jobs/7956235972,https://github.com/optimizing-ci-builds/soot/actions/runs/4517208640/jobs/7956235983
soot,Soot CI,Build and Test with java 11,Build and test Java 11,,29.0,17.0,275.0,294.0,265.0,282.0,053aa2cb70d2a939e6858d5629015a16c3401a90,cc80f4451dcc6852279792da858820acf246f440,https://github.com/optimizing-ci-builds/soot/actions/runs/4517208608/jobs/7956235997,https://github.com/optimizing-ci-builds/soot/actions/runs/4517208640/jobs/7956236012
Algorithms,QA check,build,Test,,11.0,-3.0,27.0,21.0,10.0,7.0,a768e44e62298d1c54ccc62c1ced22b5ccfdab85,c108e3a4b4fa2556b8c88d7ab6803084b01a4364,https://github.com/optimizing-ci-builds/Algorithms/actions/runs/4517208702/jobs/7956236084,https://github.com/optimizing-ci-builds/Algorithms/actions/runs/4517208730/jobs/7956236101
spring-petclinic-rest,Java CI with Maven,build,Build with Maven,,33.0,9.0,70.0,82.0,49.0,58.0,a2c7eebcadc9282cb17c888d3aadd4a54fa54b0f,0ed40a3d66243dc578fd20711f09f0bb9491a01b,https://github.com/optimizing-ci-builds/spring-petclinic-rest/actions/runs/4517208770/jobs/7956236213,https://github.com/optimizing-ci-builds/spring-petclinic-rest/actions/runs/4517208788/jobs/7956236263
